"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 19:34:05 GMT 2022","Sun Jun 26 19:34:09 GMT 2022","3620","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 19:32:56 GMT 2022","Sun Jun 26 19:33:01 GMT 2022","4386","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 19:32:48 GMT 2022","Sun Jun 26 19:32:50 GMT 2022","2315","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 19:32:39 GMT 2022","Sun Jun 26 19:32:41 GMT 2022","2248","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 19:33:07 GMT 2022","Sun Jun 26 19:33:14 GMT 2022","6587","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 19:32:52 GMT 2022","Sun Jun 26 19:32:55 GMT 2022","2388","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 19:32:43 GMT 2022","Sun Jun 26 19:32:46 GMT 2022","3620","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Jun 26 19:33:50 GMT 2022","Sun Jun 26 19:34:04 GMT 2022","13797","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 19:33:42 GMT 2022","Sun Jun 26 19:33:48 GMT 2022","5572","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 19:33:15 GMT 2022","Sun Jun 26 19:33:41 GMT 2022","25397","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 19:33:03 GMT 2022","Sun Jun 26 19:33:05 GMT 2022","2442","test","test_conduit","TestConduit","","","test_list_navigation",""
